AS2148 ITEP
AS2585 OpticTelecom-AS
AS2587 FREE-NET-AS2587
AS2599 UNSPECIFIED
AS2683 RADIO-MSU
AS2766 GLASNET
AS2848 MSU
AS2854 ROSPRINT-AS
AS2875 JINR-AS
AS2878 ULRT-AS
AS2895 FREE-NET-AS
AS3058 RAS-AS
AS3167 ASINFOPRO
AS3168 ASINTELECOMTV
AS3175 CITYTELECOM-MSK
AS3179 AKVALIS-AS
AS3181 ASN-MATRIXMOBILE
AS3191 CENTRINFORM-AS
AS3200 ASNAVICON
AS3203 ASVIDEOKANAL
AS3205 ELECTRON-SERVICE-AS
AS3216 SOVAM-AS
AS3217 AVANTEL-SPB
AS3218 COSMOS-3218-AS
AS3226 MARK-ITT-AS
AS3227 Live_in_Sky_Ltd
AS3229 DARINET-AS
AS3235 GOLDENISP-AS
AS3239 RU-SUrNet
AS3253 SOVINTEL-EF-AS
AS3267 RUNNET
AS3276 IMC_Sogaz-AS
AS3277 RUSNET-AS
AS3284 ServiceCloud-AS
AS3285 HOME-IP
AS3287 REDLINE-AS
AS3312 ELEKTRA-AS
AS3315 UNSPECIFIED
AS3316 RELARN
AS3325 KFU
AS3335 NSU-AS
AS3343 RUNNET-AS
AS3351 IOFFE-PHYSICAL-THECHICAL-INSTITUTE-AS
AS5386 COSMOS-SN-AS
AS5387 NSC
AS5429 IIP-NET-AS5429
AS5431 FG-CORE
AS5433 ROKSON-AS
AS5461 UNSPECIFIED
AS5467 MIPT
AS5468 UrFU
AS5473 ASNORILSK
AS5480 R61NET
AS5495 ASN-SPBGU
AS5514 BOSCOM-AS
AS5523 CREDO-TELECOM
AS5537 RU-CENTER-AS
AS5543 ALTROUTER-ASN1
AS5547 ORTEL-AS
AS5548 MIIT-RZD-AS
AS5553 TAMBOVMAN-AS
AS5563 URAL
AS5567 AS5567
AS5568 RBNet
AS5572 BOTIK
AS5573 KRASNET-AS
AS5589 OPEN-FC-1-AS
AS5591 MARTELCOM-AS
AS5598 NETLUX-AS
AS6662 RU-KTS-AS
AS6672 ASRELCOMSPB
AS6673 INCOMA-AS
AS6679 IT-PARK-AS
AS6694 RTSNET-AS
AS6699 URAN-AS
AS6704 CITYLAN-AS
AS6719 RADISTR-AS2
AS6731 COMSTAR-AS
AS6761 INGATE
AS6789 CRELCOM-NET
AS6801 UNSPECIFIED
AS6820 LEIVO
AS6828 USI
AS6844 TECHNODESIGN
AS6850 MF-AS
AS6854 SYNTERRA-AS
AS6856 IC-VORONEZH-AS
AS6857 PTC-AS-1
AS6858 SEVEREN_COMLINK-AS
AS6863 ROSNET-AS
AS6868 BMSTU-AS
AS6869 FREE-6869
AS6870 SPACE-IX
AS6874 PSTU-AS
AS6880 UNSPECIFIED
AS6903 ZENON-AS
AS8219 RU-ISKH-20180719
AS8241 RELLINE-AS
AS8242 INTELWAY-AS
AS8249 TOTCOM-AS
AS8263 Cloud-Megafon
AS8279 ASSTRATEGIYA
AS8291 RSNET-AS
AS8299 INFOTEL-AS
AS8305 NetLife
AS8324 URC-AS
AS8325 NETIS-AS
AS8331 RINET-AS
AS8334 CO-2COM-AS
AS8342 RTCOMM-AS
AS8345 DSI-IAS
AS8350 COMBELLGA-AS
AS8359 MTS
AS8369 INTERSVYAZ-AS
AS8371 Vimpelcom-NN
AS8377 PETERLINK-AS
AS8381 BAYDAR-AS
AS8382 IRTEL-AS
AS8395 EAST-AS
AS8398 TVERSU
AS8402 CORBINA-AS
AS8409 IITP-AS
AS8410 NIR-AS
AS8411 OmskSU
AS8416 INFOLINE-AS
AS8427 MAGINFO-AS
AS8439 AIST
AS8440 SNCNET-AS
AS8441 GARANTSERVICE-AS
AS8443 SKHDSV-AS
AS8460 OnSakh-AS
AS8470 MAcomnet
AS8475 UUST
AS8480 USATU-AS
AS8484 NCLOUDTECH-AS
AS8485 TEST-ASN2
AS8491 BSH-AS
AS8492 OBIT-AS
AS8496 RU-OPTIBIT
AS8506 UNSPECIFIED
AS8507 UNSPECIFIED
AS8510 UNSPECIFIED
AS8515 DATAFORCE-AS
AS8557 ELKATEL-AS
AS8563 DIRECTNET-AS
AS8566 DINO-AS
AS8568 MMT-AS
AS8570 LES
AS8580 SANDY
AS8592 IMT
AS8594 OMSKELECOM
AS8595 WESTCALL-AS
AS8615 CNT-AS
AS8629 MCNTT-AS
AS8630 CHUVSU
AS8631 MSK-IX-RS
AS8636 MAXNET
AS8641 NAUKANET-AS
AS8654 CRIMEAINFOCOM-AS
AS8662 LENENERGO
AS8663 KUBANNET
AS8675 AS_TULATEL
AS8684 PSU-AS
AS8706 VDA-AS
AS8711 AVANTEL-BARNAUL-AS
AS8712 INTA-AS
AS8732 COMCOR-AS
AS8742 SANTEKHKOMPLEKT
AS8744 MegaMax-AS
AS8749 REDCOM-AS
AS8752 ASVT-NETWORK
AS8753 MEDIATELESET
AS8755 CITYLINESPB-AS
AS8773 AS8773
AS8774 Etype
AS8775 ICMM-UB-RAS
AS8790 PETRSU-AS
AS8817 OMSK-SBRAS
AS8828 BURNET-AS
AS8846 ASN-TCO
AS8848 CFT-AS
AS8853 KORSTON-AS
AS8872 CHERKIZOVO-AS
AS8901 UNSPECIFIED
AS8904 BANK_OF_RUSSIA
AS8905 DIGIT1-AS
AS8909 AMURSU
AS8915 DELFA-AS
AS8920 VTC-AS
AS8941 MRSU-AS
AS8981 VSU
AS8985 MSK-IX_Services
AS8997 ASN-SPBNIT
AS8998 TUMTTL-AS
AS9006 GEPSPD-AS
AS9032 EDUNET-AS
AS9039 IIAT-AS
AS9041 rsvpu
AS9049 ERTH-TRANSIT-AS
AS9056 PSN-AS
AS9058 KAN-AUTO-AS
AS9068 AKADO-AS
AS9077 UFSC-AS
AS9078 SIBIS-AS
AS9107 ios-net
AS9110 AGTelecom-AS
AS9111 RH-AS
AS9113 VLANT-AS
AS9122 TECHNOELECTROSERVIS-AS
AS9123 TimeWeb-AS
AS9124 IKBFU
AS9130 HMS-AS
AS9134 REGMED-AS
AS9157 SAO-RAS
AS9162 TSTU
AS9177 MZRTA-AS
AS9185 ALTAIR
AS9203 EVROKONTAKT-STRUSSA-AS
AS9206 MAI
AS12314 TESLATEL-DC-AS
AS12332 PRIMORYE-AS
AS12335 TARIO
AS12341 uspc
AS12380 LENSVYAZ
AS12389 ROSTELECOM-AS
AS12396 MF-MSV-STF
AS12403 FEONET-AS
AS12418 QUANTUM
AS12456 KLG-AS
AS12484 BORISLTD-AS
AS12494 ASN-POSTLTD
AS12500 RCS-PNZ-AS
AS12507 SWIFT-TRACE-AS
AS12538 TATINCOM-AS
AS12543 KUBTELECOM-AS
AS12555 IMAQLIQ
AS12616 HOSTING-MSK
AS12668 MIRALOGIC-AS
AS12679 ASN-MOL
AS12683 STATEL-AS
AS12685 SIBITEX
AS12686 rosbank-as
AS12688 BAIKALTRANSTELECOM
AS12690 MKSNET-AS
AS12695 DINET-AS
AS12705 PFES
AS12714 MEGAFON-AS
AS12722 RECONN
AS12724 LASERNET-AS
AS12730 INECO_AS
AS12737 RIGHTSIDE16
AS12739 NetLine_AS
AS12768 ER-TELECOM-AS
AS12770 KHB1
AS12772 ENFORTA-AS
AS12790 CEA-AS
AS12828 KRSC-AS
AS12836 POISK
AS12841 Veltrade-AS
AS12846 UNSPECIFIED
AS12879 OJSC-STN-AS
AS12925 SINP-MSU
AS12938 SIOBC
AS12958 MCC
AS12959 NETLUX-AS
AS12976 AS-CWSVYAZ
AS12979 TSINET
AS12999 FESU
AS13016 TELELINE-NET
AS13029 GCSI-CHUVASHII-AS
AS13055 CSVLG-AS
AS13056 RT-TMB-AS
AS13062 LANCK-AS
AS13075 MEGALABS-AS
AS13077 NCFU
AS13078 CTINET-AS
AS13079 ZONDH
AS13094 SFO-IX-AS
AS13095 CTK-NET-AS
AS13118 ASN-YARTELECOM
AS13155 MTS-IRK-AS
AS13161 TECHNOCOM
AS13165 SIBINTEK-AS
AS13174 MTSNet
AS13178 DIGCOMM
AS13185 UNIVOREL
AS13215 CPLUS1-AS
AS13227 KRAFT-S
AS13230 NCPORT
AS13238 YANDEX
AS13257 POLARCOM-AS
AS13259 DELTA-TELESYSTEMS-AS
AS13296 INNOR-AS
AS13302 LINKEY-CLOUD
AS15370 MFISOFT-AS
AS15378 TELE2-RU-AS
AS15428 DAGNET-AS
AS15449 ROSOHRANA
AS15454 ARBUZ-AS
AS15468 KLGELECS-AS
AS15493 RUSCOMP-AS
AS15500 UNSPECIFIED
AS15508 NOVOSOFT-AS
AS15552 CK
AS15556 SITYSOL-AS
AS15559 Renaissance-Ins-AS
AS15582 AKADO-B2C-AS
AS15599 AVANTEL-NEFTEUGANSK-ASN
AS15620 INTBEL
AS15632 Alfa-Bank-AS
AS15638 UTL
AS15640 FPIC-AS
AS15672 TZTELECOM
AS15673 TELESETI-PLUS-AS
AS15682 ITERANET-AS
AS15707 INGOSSTRAKH-AS
AS15741 EXPILINE-AS
AS15754 TAXTELECOM
AS15756 CARAVAN
AS15757 Gascom-Net
AS15759 DIN-AS
AS15774 TTK-RTL
AS15781 QUANTERA-AS
AS15835 MAP
AS15848 RSVOSPB-AS
AS15850 AS15850
AS15867 ED-PARTNER-AS
AS15868 NALTEL-AS
AS15870 BST-AS
AS15880 CHIKALIN-AS
AS15884 EXPERT-PRO-AS
AS15886 Rekkon-AS
AS15913 IACP-AS
AS15930 WIPLINE-AS
AS15934 ZEBRA-AS
AS15974 VTT-AS
AS15984 UNSPECIFIED
AS16012 MTSCenter-AS
AS16020 TASCOM
AS16043 SAMARA-TELECOM-AS
AS16047 YAR-TT-AS
AS16054 NSOELSV-AS
AS16064 Infopac-AS
AS16083 STACK-AS
AS16094 MagTelecom-AS
AS16118 NNT-MOSCOW-AS
AS16143 RadioNet-AS
AS16173 CQGI-Rus
AS16176 MEGALINE-RU-AS
AS16179 ERTELECOM-CGN-AS
AS16222 Autokontinent
AS16227 VIPLINE-AS
AS16230 SKYNET-AS
AS16249 HLEBPROM-AS
AS16255 IRIDIUM-AS
AS16256 ReCom-AS
AS16262 DATACHEAP-LLC-AS
AS16285 ASN-UMN
AS16287 KUZBASSNET
AS16300 INTERTAX-AREA
AS16301 DATACOM-AS
AS16308 UNSPECIFIED
AS16321 AICONET-AS
AS16323 INFORM-SYSTEMY-I-TECHNOLOGII-AS
AS16345 BEE-AS
AS20483 EUROCOM
AS20485 TRANSTELECOM
AS20490 UNSPECIFIED
AS20499 IPC-AS
AS20519 BALTNET
AS20527 Garant-AS
AS20533 SAKHTEL-AS
AS20549 FREE-MPEI
AS20576 GAZSVYAZ
AS20597 ELTEL-AS
AS20611 UK-PS-Group
AS20619 ALANIT-AS
AS20631 ARTECOM
AS20632 PETERSTAR-AS
AS20655 e-StyleISP-AS
AS20663 INAR-VOLOGDA-AS
AS20688 CHUDO-TELECOM-AS
AS20690 APATIT
AS20698 AVTODOR
AS20702 CSSMPS-AS
AS20720 TOL-AS
AS20730 DVO-IX
AS20764 RASCOM-AS
AS20772 SWSU-AS
AS20793 RTL-LLC
AS20807 Credolink-ASN
AS20817 FGBU-REA
AS20821 RUBIT
AS20826 S-LOGISTIC-LTD-AS
AS20842 FORMULAPLUS-AS
AS20848 ROSBUSINESSCONSULTING-AS
AS20866 INTELECOM-AS
AS20870 KAVKAZ-TRANSTELECOM-AS
AS20872 URALSIB-AS
AS20895 UGTEL
AS20916 ADMINEXPERT-AS
AS20919 IBS
AS20946 CCE-AS
AS20985 ARTX-AS
AS21008 KTLINE-AS
AS21017 VSI-AS
AS21020 GAU-RD-CIT-AS
AS21023 UPB-AS
AS21030 CDNNOW-AS
AS21051 NIVAL-AS
AS21087 ELCITY-AS
AS21103 PRIMTEL-AS
AS21105 RTK-Tranzit
AS21127 ZSTTKAS
AS21135 MTT-AS
AS21140 FLY-TELECOM-AS
AS21143 TULSUISP
AS21166 AS21166
AS21184 Farpost
AS21191 ASN-SEVERTTK
AS21226 RU-KPTUS
AS21231 AEROFLOT
AS21252 NIKOIL-AS
AS21266 EESNET-AS
AS21275 KOMPANIYA-METALLINVEST-AS
AS21289 ROSTOVTELECOM-AS
